month,category_id,file_id,Inflation and Prices,Economic Growth and Business Activity,Quarterly Economic Performance,Committee Deliberations and Policies*,Credit Markets and Financial Conditions,Economic Forecasts and Projections
2004-01,2004,20040128,-0.02000989746729189,-0.007504598975197281,-0.017354415285038383,-0.03180496233993408,-0.03888294413182246,0.02361508328540954
2004-03,2004,20040316,-0.025546374121068416,-0.03459498212997222,-0.031001859461413917,-0.006695575514700415,-0.030285180029958326,0.0019270450403969471
2004-05,2004,20040504,0.0031743220965197304,0.0011841657986373679,-0.009437621132520781,0.04229870121380455,0.009340912693384952,0.03394440404070962
2004-06,2004,20040630,0.028334867399233913,0.011751318173569605,0.01796115732215254,0.09389057751408855,0.005207255540425625,0.05771756797530077
2004-08,2004,20040810,-0.06344472883418278,0.019796277878506026,-0.06264135940671411,-0.08811157731151921,-0.01940176290890548,-0.019696077928012673
2004-09,2004,20040921,-0.09598295880019352,0.009040614761744442,-0.06201711512490826,-0.13653507670691586,-0.024829431271261672,-0.10530269396540923
2004-11,2004,20041110,0.008583310813845167,0.041488638054521354,0.013961731097284519,0.015870950338752153,0.003539339013259999,-0.05386031048088121
2004-12,2004,20041214,0.08021331786931739,0.021123921424422112,0.029227581783531856,0.013564834889286047,-0.022324397359689642,-0.027355142110673233
2005-02,2005,20050202,0.010163818827167178,0.03035019371937057,-0.024040183854815794,-0.0154080886128152,-0.0076662542552249305,-0.03805894312620108
2005-03,2005,20050322,0.010001323289306743,0.01809028972842746,0.02754539292790753,0.14744635922101512,0.007092878085716244,0.043243802191747845
2005-05,2005,20050503,-0.058714857041112324,0.011571766681260436,-0.05404319890262605,-0.16046604250689306,-0.021096689225113388,-0.054302998487824786
2005-06,2005,20050630,-0.037377833150894005,0.014880952157848916,-0.031093406099050033,-0.011717291655578636,0.004837756647009905,0.0196574759477026
2005-08,2005,20050809,0.06998886997640039,0.02050578403392041,-0.05713302985308957,-0.000982741229060404,0.019842058213584948,-0.02552649023333057
2005-09,2005,20050920,-0.07875966669510834,-0.004959907222733798,-0.05618404878475973,-0.20661274875510766,-0.02717546723509152,-0.13751294147975557
2005-11,2005,20051101,-0.012872004839597174,0.023111343504171586,-0.003135418944419884,0.03437780834466336,-0.009948483506258161,-0.016760623532805108
2005-12,2005,20051213,-0.030419191665158406,-0.012443932137566555,-0.057294203861096994,0.03139897289920818,-0.016053883627999754,0.029889648500092042
2006-01,2006,20060131,0.039492245975544175,0.0033312030584011334,-0.055137969349267214,0.05427760694551843,0.00039418433400235714,0.007104472131690788
2006-03,2006,20060328,-0.0033664285127176386,0.019844228971074816,0.01082700893332633,0.03817934665438591,0.033929439443655035,0.02818500310970944
2006-05,2006,20060510,0.023059278647322722,0.03377860698357096,0.014490883909808959,0.18875454561445318,-0.006980475113898501,0.02434429875024159
2006-06,2006,20060629,-0.07197400702029899,0.01238615559942167,-0.049334940947503264,-0.1025264393436021,0.01619432050564382,-0.026288602070896293
2006-08,2006,20060808,-0.08581985181585501,0.013582904831670144,0.015556902202020006,-0.15151614277568912,-0.03291870063733851,-0.006823426922805285
2006-09,2006,20060920,-0.08031202105240134,-0.0011317107220181076,-0.0026569556592200873,-0.08808227985855553,-0.01730509370012018,0.0012706999615255188
2006-10,2006,20061025,-0.03865441767530639,-0.030136876130047494,-0.04722366205952504,-0.1618380747335006,-0.016504749799932966,-0.07312244351544928
2006-12,2006,20061212,-0.1471954786219048,-0.022418864572430457,-0.08634800472656096,-0.17595255979122063,-0.012588859539127157,-0.04910174555203307
2007-01,2007,20070131,-0.05012091116274746,-0.02102754162499874,-0.044540011410869475,-0.07885354605096846,-0.003481350685415173,0.03263896126761705
2007-03,2007,20070321,-0.07107961721079344,-0.0096356478813451,-0.017559668076557927,-0.11801242703756545,-0.03134578188737093,-0.02686374174865138
2007-05,2007,20070509,-0.08743718909808694,-0.007168777533540591,-0.019487331018840922,-0.183430659874077,0.009064238572637648,-0.06606622293782526
2007-06,2007,20070628,-0.06790738427697036,0.002715452167417208,-0.02154297686597684,-0.04487848277185901,0.022189831273688298,-0.0031480367065880306
2007-08,2007,20070807,-0.02885015120109689,0.00826357337926538,-0.042658930901423225,-0.11026138502888906,-0.06221755489857301,-0.04813472552400555
2007-09,2007,20070918,-0.14392355266081278,-0.0131254484444924,-0.05647965318116508,-0.24441444707090046,-0.09564754193857042,-0.09054568485444406
2007-10,2007,20071031,-0.15289845413227351,-0.030759474670655138,-0.039022769043580166,-0.21694128117172512,-0.04822844473272676,-0.05081426868875132
2007-12,2007,20071211,-0.09870257811508162,-0.03341300030321728,-0.06425214239884641,-0.22879051811353787,-0.06130567934362577,-0.07083218570980851
2008-01,2008,20080130,-0.13789974234021424,-0.021862570822433102,-0.029504326462529408,-0.23495748071107145,-0.03664470149034774,-0.07617491855023417
2008-03,2008,20080318,-0.16408787445875872,-0.01664211453314417,-0.042265063638701146,-0.23179810987670718,-0.02201363501380668,-0.0984946940825513
2008-04,2008,20080430,-0.13135578056532463,-0.017216438320931268,-0.01465969510084074,-0.2106348428626925,0.061622675927871164,-0.09298415470846481
2008-06,2008,20080625,,,,,,
2008-08,2008,20080805,-0.10493088899286442,-0.0054397879439565386,-0.02229311362064682,-0.26816069979818297,-0.013794862917190866,-0.07540849535830194
2008-09,2008,20080916,-0.11052842925715228,-0.002048554579954817,-0.0582551447312556,-0.24305547266239946,-0.14892465462944698,-0.11241355174438566
2008-10,2008,20081029,-0.07922409322841013,-0.009557018255366818,-0.03533040303666739,-0.23814581029982007,-0.04237115895390037,-0.0930821900337227
2008-12,2008,20081216,-0.09986003435964091,-0.02220246909273219,-0.03503350390188761,-0.25883007191269825,-0.08997651780439646,-0.08396830120082942
2009-01,2009,20090128,-0.1503316960993926,-0.024680093363113494,-0.046686465167905415,-0.2736440828172361,-0.14173554404793529,-0.09329700102599055
2009-03,2009,20090318,-0.12533078340028675,-0.01942549166537341,-0.05629239051043363,-0.3637732525882387,-0.07609497550926474,-0.1294148274972081
2009-04,2009,20090429,-0.14879255108986042,-0.03453603427492731,-0.04090475488461637,-0.22869635431171398,-0.09924613432103362,-0.0688426166445637
2009-06,2009,20090624,-0.05644172944124009,-0.008070865846737751,-0.04304234863737219,-0.1846588963624012,0.013048504304843075,-0.06872461655893151
2009-08,2009,20090812,-0.10346211838096206,-0.021349921305648167,-0.042138439796139064,-0.1732674537397354,-0.08814381911006226,-0.05312362845858068
